group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
get_bench,kvs_10,,,,979500.0,ns,826
get_bench,kvs_10,,,,1978600.0,ns,1652
get_bench,kvs_10,,,,2982700.0,ns,2478
get_bench,kvs_10,,,,3900300.0,ns,3304
get_bench,kvs_10,,,,4951100.0,ns,4130
get_bench,kvs_10,,,,5874200.0,ns,4956
get_bench,kvs_10,,,,6842800.0,ns,5782
get_bench,kvs_10,,,,7862600.0,ns,6608
get_bench,kvs_10,,,,8927700.0,ns,7434
get_bench,kvs_10,,,,9838800.0,ns,8260
get_bench,kvs_10,,,,10892200.0,ns,9086
get_bench,kvs_10,,,,11824700.0,ns,9912
get_bench,kvs_10,,,,12870800.0,ns,10738
get_bench,kvs_10,,,,13650800.0,ns,11564
get_bench,kvs_10,,,,14653000.0,ns,12390
get_bench,kvs_10,,,,15613700.0,ns,13216
get_bench,kvs_10,,,,16626300.0,ns,14042
get_bench,kvs_10,,,,17646800.0,ns,14868
get_bench,kvs_10,,,,18665100.0,ns,15694
get_bench,kvs_10,,,,19567500.0,ns,16520
get_bench,kvs_10,,,,20615200.0,ns,17346
get_bench,kvs_10,,,,21539200.0,ns,18172
get_bench,kvs_10,,,,22510700.0,ns,18998
get_bench,kvs_10,,,,23478600.0,ns,19824
get_bench,kvs_10,,,,24585700.0,ns,20650
get_bench,kvs_10,,,,25400400.0,ns,21476
get_bench,kvs_10,,,,26678100.0,ns,22302
get_bench,kvs_10,,,,27670300.0,ns,23128
get_bench,kvs_10,,,,29136900.0,ns,23954
get_bench,kvs_10,,,,29517700.0,ns,24780
get_bench,kvs_10,,,,30433300.0,ns,25606
get_bench,kvs_10,,,,31458000.0,ns,26432
get_bench,kvs_10,,,,33723300.0,ns,27258
get_bench,kvs_10,,,,33374700.0,ns,28084
get_bench,kvs_10,,,,34369600.0,ns,28910
get_bench,kvs_10,,,,35364700.0,ns,29736
get_bench,kvs_10,,,,36315100.0,ns,30562
get_bench,kvs_10,,,,37257300.0,ns,31388
get_bench,kvs_10,,,,38407300.0,ns,32214
get_bench,kvs_10,,,,39327300.0,ns,33040
get_bench,kvs_10,,,,40156800.0,ns,33866
get_bench,kvs_10,,,,41415000.0,ns,34692
get_bench,kvs_10,,,,42306900.0,ns,35518
get_bench,kvs_10,,,,43219300.0,ns,36344
get_bench,kvs_10,,,,44026700.0,ns,37170
get_bench,kvs_10,,,,45378700.0,ns,37996
get_bench,kvs_10,,,,46301600.0,ns,38822
get_bench,kvs_10,,,,47428300.0,ns,39648
get_bench,kvs_10,,,,48680100.0,ns,40474
get_bench,kvs_10,,,,50132300.0,ns,41300
get_bench,kvs_10,,,,51253800.0,ns,42126
get_bench,kvs_10,,,,51148200.0,ns,42952
get_bench,kvs_10,,,,54300400.0,ns,43778
get_bench,kvs_10,,,,52809000.0,ns,44604
get_bench,kvs_10,,,,54047600.0,ns,45430
get_bench,kvs_10,,,,54802200.0,ns,46256
get_bench,kvs_10,,,,55877700.0,ns,47082
get_bench,kvs_10,,,,56643800.0,ns,47908
get_bench,kvs_10,,,,57892600.0,ns,48734
get_bench,kvs_10,,,,59904200.0,ns,49560
get_bench,kvs_10,,,,60172600.0,ns,50386
get_bench,kvs_10,,,,62006100.0,ns,51212
get_bench,kvs_10,,,,61822400.0,ns,52038
get_bench,kvs_10,,,,63589800.0,ns,52864
get_bench,kvs_10,,,,63535500.0,ns,53690
get_bench,kvs_10,,,,64615600.0,ns,54516
get_bench,kvs_10,,,,67393000.0,ns,55342
get_bench,kvs_10,,,,66560300.0,ns,56168
get_bench,kvs_10,,,,67493200.0,ns,56994
get_bench,kvs_10,,,,69466900.0,ns,57820
get_bench,kvs_10,,,,70459500.0,ns,58646
get_bench,kvs_10,,,,70702600.0,ns,59472
get_bench,kvs_10,,,,71652700.0,ns,60298
get_bench,kvs_10,,,,73503300.0,ns,61124
get_bench,kvs_10,,,,74197100.0,ns,61950
get_bench,kvs_10,,,,74546600.0,ns,62776
get_bench,kvs_10,,,,75678300.0,ns,63602
get_bench,kvs_10,,,,77750100.0,ns,64428
get_bench,kvs_10,,,,77493700.0,ns,65254
get_bench,kvs_10,,,,78815900.0,ns,66080
get_bench,kvs_10,,,,79212200.0,ns,66906
get_bench,kvs_10,,,,80124800.0,ns,67732
get_bench,kvs_10,,,,82177500.0,ns,68558
get_bench,kvs_10,,,,84238100.0,ns,69384
get_bench,kvs_10,,,,82980200.0,ns,70210
get_bench,kvs_10,,,,84000800.0,ns,71036
get_bench,kvs_10,,,,85212800.0,ns,71862
get_bench,kvs_10,,,,86114700.0,ns,72688
get_bench,kvs_10,,,,86984000.0,ns,73514
get_bench,kvs_10,,,,89240100.0,ns,74340
get_bench,kvs_10,,,,88776300.0,ns,75166
get_bench,kvs_10,,,,93669500.0,ns,75992
get_bench,kvs_10,,,,91957300.0,ns,76818
get_bench,kvs_10,,,,92253200.0,ns,77644
get_bench,kvs_10,,,,93022400.0,ns,78470
get_bench,kvs_10,,,,94330400.0,ns,79296
get_bench,kvs_10,,,,94646100.0,ns,80122
get_bench,kvs_10,,,,96019000.0,ns,80948
get_bench,kvs_10,,,,97833100.0,ns,81774
get_bench,kvs_10,,,,98799700.0,ns,82600
