group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
set_bench,kvs,,,,1320900.0,ns,1
set_bench,kvs,,,,2606400.0,ns,2
set_bench,kvs,,,,3996400.0,ns,3
set_bench,kvs,,,,5265800.0,ns,4
set_bench,kvs,,,,6514100.0,ns,5
set_bench,kvs,,,,7914100.0,ns,6
set_bench,kvs,,,,9163200.0,ns,7
set_bench,kvs,,,,10517500.0,ns,8
set_bench,kvs,,,,11783700.0,ns,9
set_bench,kvs,,,,13095300.0,ns,10
set_bench,kvs,,,,14860800.0,ns,11
set_bench,kvs,,,,15622700.0,ns,12
set_bench,kvs,,,,16887400.0,ns,13
set_bench,kvs,,,,18220500.0,ns,14
set_bench,kvs,,,,19695800.0,ns,15
set_bench,kvs,,,,20879700.0,ns,16
set_bench,kvs,,,,22290400.0,ns,17
set_bench,kvs,,,,23535800.0,ns,18
set_bench,kvs,,,,24795800.0,ns,19
set_bench,kvs,,,,26153600.0,ns,20
set_bench,kvs,,,,27579400.0,ns,21
set_bench,kvs,,,,29033400.0,ns,22
set_bench,kvs,,,,30246900.0,ns,23
set_bench,kvs,,,,31425100.0,ns,24
set_bench,kvs,,,,32687300.0,ns,25
set_bench,kvs,,,,34233100.0,ns,26
set_bench,kvs,,,,35563700.0,ns,27
set_bench,kvs,,,,36579300.0,ns,28
set_bench,kvs,,,,38108500.0,ns,29
set_bench,kvs,,,,39199500.0,ns,30
set_bench,kvs,,,,40449100.0,ns,31
set_bench,kvs,,,,41628800.0,ns,32
set_bench,kvs,,,,44121500.0,ns,33
set_bench,kvs,,,,44535100.0,ns,34
set_bench,kvs,,,,46049100.0,ns,35
set_bench,kvs,,,,47188900.0,ns,36
set_bench,kvs,,,,48469000.0,ns,37
set_bench,kvs,,,,49991900.0,ns,38
set_bench,kvs,,,,50989000.0,ns,39
set_bench,kvs,,,,53317900.0,ns,40
set_bench,kvs,,,,53884900.0,ns,41
set_bench,kvs,,,,55105200.0,ns,42
set_bench,kvs,,,,56269000.0,ns,43
set_bench,kvs,,,,59874400.0,ns,44
set_bench,kvs,,,,59707500.0,ns,45
set_bench,kvs,,,,63675300.0,ns,46
set_bench,kvs,,,,83049500.0,ns,47
set_bench,kvs,,,,63523100.0,ns,48
set_bench,kvs,,,,64022200.0,ns,49
set_bench,kvs,,,,66567000.0,ns,50
set_bench,kvs,,,,66898800.0,ns,51
set_bench,kvs,,,,68496400.0,ns,52
set_bench,kvs,,,,69477000.0,ns,53
set_bench,kvs,,,,70493700.0,ns,54
set_bench,kvs,,,,71717500.0,ns,55
set_bench,kvs,,,,73205100.0,ns,56
set_bench,kvs,,,,74813500.0,ns,57
set_bench,kvs,,,,75645500.0,ns,58
set_bench,kvs,,,,77134900.0,ns,59
set_bench,kvs,,,,78444900.0,ns,60
set_bench,kvs,,,,80367300.0,ns,61
set_bench,kvs,,,,82500900.0,ns,62
set_bench,kvs,,,,82155300.0,ns,63
set_bench,kvs,,,,83313600.0,ns,64
set_bench,kvs,,,,85019600.0,ns,65
set_bench,kvs,,,,86500600.0,ns,66
set_bench,kvs,,,,89405900.0,ns,67
set_bench,kvs,,,,89570100.0,ns,68
set_bench,kvs,,,,89597800.0,ns,69
set_bench,kvs,,,,90763900.0,ns,70
set_bench,kvs,,,,92300700.0,ns,71
set_bench,kvs,,,,93703600.0,ns,72
set_bench,kvs,,,,95683800.0,ns,73
set_bench,kvs,,,,97760600.0,ns,74
set_bench,kvs,,,,98443000.0,ns,75
set_bench,kvs,,,,100215600.0,ns,76
set_bench,kvs,,,,104418900.0,ns,77
set_bench,kvs,,,,102890600.0,ns,78
set_bench,kvs,,,,103903100.0,ns,79
set_bench,kvs,,,,104985100.0,ns,80
set_bench,kvs,,,,106238100.0,ns,81
set_bench,kvs,,,,107927400.0,ns,82
set_bench,kvs,,,,109054400.0,ns,83
set_bench,kvs,,,,110248100.0,ns,84
set_bench,kvs,,,,111614700.0,ns,85
set_bench,kvs,,,,112999600.0,ns,86
set_bench,kvs,,,,114435200.0,ns,87
set_bench,kvs,,,,115542000.0,ns,88
set_bench,kvs,,,,116806600.0,ns,89
set_bench,kvs,,,,118235300.0,ns,90
set_bench,kvs,,,,119922700.0,ns,91
set_bench,kvs,,,,121508300.0,ns,92
set_bench,kvs,,,,122203600.0,ns,93
set_bench,kvs,,,,122561900.0,ns,94
set_bench,kvs,,,,124019300.0,ns,95
set_bench,kvs,,,,126009600.0,ns,96
set_bench,kvs,,,,126668000.0,ns,97
set_bench,kvs,,,,129921500.0,ns,98
set_bench,kvs,,,,129342900.0,ns,99
set_bench,kvs,,,,130624000.0,ns,100
